gene,orthologs
Ahg315021,AT1G64130
Ahg315031,AT1G50870
Ahg315035,AT1G63970
Ahg315039,AT1G63910
Ahg315042,AT1G63850
Ahg315054,AT1G63680
Ahg315060,AT1G63580
Ahg315069,AT1G63470
Ahg315074,AT1G63410
Ahg315080,AT5G26110
Ahg315081,AT1G63250
Ahg315086,AT1G63220
Ahg315087,AT1G63206
Ahg315116,AT1G62886
Ahg315131,AT1G62710
Ahg315143,AT1G62540
Ahg315144,AT1G62530
Ahg315176,AT1G62130
Ahg315177,AT1G62085
Ahg315184,AT2G46450
Ahg315187,AT1G62060
Ahg315190,AT1G61960
Ahg315208,AT1G61688
Ahg315221,AT1G61560
Ahg315222,AT1G61540
Ahg315228,AT1G61290
Ahg315244,AT1G61110
Ahg315245,AT1G61100
Ahg315251,AT1G61060
Ahg315258,AT1G60960
Ahg315285,AT1G60650
Ahg315293,AT1G60570
Ahg315311,AT1G60260
Ahg315321,AT1G60260
Ahg315325,AT1G60060
Ahg315326,AT1G60050
Ahg315354,AT1G59660
Ahg315379,AT1G58460
Ahg315391,AT1G57760
Ahg315392,AT1G58050
Ahg315394,AT4G13780
Ahg315410,AT1G58230
Ahg315417,AT1G58260
Ahg315425,AT1G04810
Ahg315436,AT1G57820
Ahg315447,AT1G64790
Ahg315468,AT1G65040
Ahg315469,AT1G65060
Ahg315473,AT2G44870
Ahg315474,AT1G65110
Ahg315475,AT1G65113
Ahg315476,AT1G65140
Ahg315481,AT1G65130
Ahg315482,AT1G65250
Ahg315485,AT4G38030
Ahg315487,AT1G65240
Ahg315497,ATCG00810
Ahg315511,ATCG00530
Ahg315521,ATCG00340
Ahg315523,ATCG00270
Ahg315525,ATCG00180
Ahg315545,ATCG00280
Ahg315547,ATCG00350
Ahg315554,ATCG00530
Ahg315557,ATCG00670
Ahg315563,ATCG00810
Ahg315564,ATCG01310
Ahg315565,ATCG01300
Ahg315571,AT1G65352
Ahg315582,AT1G65450
Ahg315588,AT5G51280
Ahg315590,AT5G28929
Ahg315594,AT3G04110
Ahg315601,AT1G65630
Ahg315605,AT1G65710
Ahg315612,AT1G66490
Ahg315617,AT5G67000
Ahg315619,AT1G65845
Ahg315636,AT1G65985
Ahg315648,AT1G35614
Ahg315683,AT1G66534
Ahg315690,AT3G17710
Ahg315701,AT1G66740
Ahg315717,AT1G66940
Ahg315734,AT1G67150
Ahg315745,AT1G67310
Ahg315746,AT1G67325
Ahg315769,AT1G67530
Ahg315776,AT1G67600
Ahg315784,AT1G67690
Ahg315794,AT1G67790
Ahg315818,AT1G68090
Ahg315838,AT1G68210
Ahg315840,AT1G68230
Ahg315868,AT1G68500
Ahg315881,AT1G68630
Ahg315886,AT1G68680
Ahg315891,AT1G68725
Ahg315892,AT1G68730
Ahg315894,AT1G68750
Ahg315900,AT1G68800
Ahg315903,AT1G68830
Ahg315925,AT1G68940
Ahg315930,AT1G69220
Ahg315935,AT1G69325
Ahg315955,AT1G69526
Ahg315967,AT1G69660
Ahg315973,AT1G69720
Ahg315978,AT1G69770
Ahg315981,AT1G14400
Ahg315984,AT1G69825
Ahg315985,AT1G69828
Ahg315987,AT1G69840
Ahg316003,AT1G70110
Ahg316004,AT1G70120
Ahg316005,AT1G70130
Ahg316028,AT1G70400
Ahg316029,AT1G71320
Ahg316069,AT1G70800
Ahg316070,AT1G70810
Ahg316075,AT1G70870
Ahg316086,AT1G71000
Ahg316118,AT1G71340
Ahg316133,AT1G71690
Ahg316139,AT1G71710
Ahg316144,AT1G71760
Ahg316160,AT1G71900
Ahg316163,AT1G71930
Ahg316165,AT1G71950
Ahg316170,AT1G72000
Ahg316181,AT1G72125
Ahg316182,AT1G72130
Ahg316186,AT1G72160
Ahg316194,AT1G72250
Ahg316204,AT1G72390
Ahg316209,AT1G72440
Ahg316211,AT1G72460
Ahg316221,AT1G72570
Ahg316232,AT1G72700
Ahg316241,AT1G72810
Ahg316264,AT1G73140
Ahg316265,AT1G73150
Ahg316266,AT1G73160
Ahg316268,AT1G73170
Ahg316284,AT1G73370
Ahg316296,AT1G73550
Ahg316299,AT1G73580
Ahg316308,AT1G73650
Ahg316317,AT1G73740
Ahg316331,AT1G73875
Ahg316359,AT1G74130
Ahg316360,AT1G74150
Ahg316373,AT1G74340
Ahg316383,AT1G74440
Ahg316385,AT1G74458
Ahg316389,AT1G74490
Ahg316416,AT1G74810
Ahg316417,AT1G74830
Ahg316423,AT1G74890
Ahg316436,AT1G75050
Ahg316461,AT1G75300
Ahg316462,AT1G75310
Ahg316470,AT1G75394
Ahg316473,AT1G75420
Ahg316480,AT1G75470
Ahg316489,AT1G75600
Ahg316494,AT1G75670
Ahg316499,AT1G75720
Ahg316513,AT1G75870
Ahg316514,AT1G75890
Ahg316515,AT1G75900
Ahg316517,AT1G75940
Ahg316527,AT1G76065
Ahg316534,AT1G76130
Ahg316541,AT1G76190
Ahg316562,AT1G76410
Ahg316570,AT1G76490
Ahg316589,AT1G76710
Ahg316610,AT1G76952
Ahg316611,AT1G76955
Ahg316612,AT1G76965
Ahg316620,AT1G77030
Ahg316625,AT1G77100
Ahg316635,AT1G77230
Ahg316646,AT1G77350
Ahg316675,AT1G77630
Ahg316679,AT1G77682
Ahg316691,AT1G77790
Ahg316696,AT1G77855
Ahg316706,AT1G77960
Ahg316712,AT1G77990
Ahg316714,AT1G78050
Ahg316716,AT1G78070
Ahg316721,AT1G78130
Ahg316726,AT1G78172
Ahg316741,AT1G78370
Ahg316746,AT1G78440
Ahg316749,AT1G78500
Ahg316750,AT3G44970
Ahg316754,AT1G78520
Ahg316768,AT1G78680
Ahg316771,AT1G78710
Ahg316772,AT2G01280
Ahg316775,AT1G78790
Ahg316788,AT1G78915
Ahg316793,AT1G78955
Ahg316796,AT1G78990
Ahg316805,AT1G79070
Ahg316812,AT1G79160
Ahg316818,AT1G79250
Ahg316819,AT1G79260
Ahg316828,AT1G79370
Ahg316857,AT1G79650
Ahg316895,AT1G80650
Ahg316898,AT1G80620
Ahg316902,AT1G80580
Ahg316907,AT1G80540
Ahg316920,AT1G80400
Ahg316923,AT1G80370
Ahg316927,AT1G80330
Ahg316935,AT1G80245
Ahg316941,AT1G80190
Ahg316945,AT1G80160
Ahg316947,AT1G80140
Ahg316979,AT1G79780
Ahg316997,AT3G01960
Ahg317012,AT3G01810
Ahg317013,AT3G01800
Ahg317046,AT3G01435
Ahg317048,AT3G01420
Ahg317076,AT3G01160
Ahg317081,AT3G01090
Ahg317082,AT3G01080
Ahg317083,AT3G01070
Ahg317104,AT3G02242
Ahg317116,AT3G02370
Ahg317170,AT3G02885
Ahg317188,AT3G03500
Ahg317213,AT3G03300
Ahg317219,AT4G04220
Ahg317222,AT3G03405
Ahg317230,AT3G03480
Ahg317232,AT3G03510
Ahg317234,AT3G03530
Ahg317250,AT3G03690
Ahg317260,AT3G03800
Ahg317262,AT3G03828
Ahg317277,AT3G04000
Ahg317287,AT3G04100
Ahg317300,AT3G04310
Ahg317308,AT3G04450
Ahg317312,AT3G04490
Ahg317317,AT3G04540
Ahg317350,AT3G04850
Ahg317356,AT3G04910
Ahg317378,AT3G05100
Ahg317389,AT3G05240
Ahg317405,AT3G05430
Ahg317406,AT3G05470
Ahg317410,AT3G05510
Ahg317420,AT3G05600
Ahg317449,AT3G05890
Ahg317456,AT5G26360
Ahg317457,AT3G05960
Ahg317462,AT5G19330
Ahg317466,AT3G06030
Ahg317476,AT3G06140
Ahg317478,AT3G06160
Ahg317484,AT3G06220
Ahg317500,AT5G18670
Ahg317521,AT3G06570
Ahg317561,AT3G06985
Ahg317584,AT3G07220
Ahg317589,AT3G07320
Ahg317651,AT3G08000
Ahg317662,AT3G08560
Ahg317667,AT3G48235
Ahg317684,AT3G08810
Ahg317692,AT3G08900
Ahg317700,AT3G08960
Ahg317721,AT3G09190
Ahg317726,AT3G09240
Ahg317739,AT3G09360
Ahg317751,AT3G09470
Ahg317759,AT3G09560
Ahg317764,AT3G09620
Ahg317768,AT3G09660
Ahg317774,AT3G09730
Ahg317804,AT3G10030
Ahg317819,AT3G10195
Ahg317829,AT5G07630
Ahg317848,AT3G10480
Ahg317855,AT3G10550
Ahg317859,AT3G10585
Ahg317861,AT3G10600
Ahg317863,AT3G10620
Ahg317879,AT3G10810
Ahg317880,AT3G10820
Ahg317881,AT3G10840
Ahg317898,AT3G10986
Ahg317904,AT2G46730
Ahg317922,AT3G11330
Ahg317933,AT3G11490
Ahg317949,AT3G11680
Ahg317967,AT3G11870
Ahg317971,AT3G11910
Ahg317988,AT3G12070
Ahg317994,AT3G12130
Ahg317998,AT3G12170
Ahg317999,AT3G12180
Ahg318005,AT3G12270
Ahg318010,AT3G12340
Ahg318016,AT3G12460
Ahg318019,AT3G12500
Ahg318024,AT3G12550
Ahg318028,AT3G12590
Ahg318060,AT3G12915
Ahg318072,AT3G13000
Ahg318077,AT3G13050
Ahg318086,AT3G13140
Ahg318095,AT3G13220
Ahg318121,AT3G13435
Ahg318122,AT3G13440
Ahg318143,AT3G13662
Ahg318152,AT3G13730
Ahg318159,AT3G13782
Ahg318183,AT3G13965
Ahg318184,AT3G13970
Ahg318190,AT3G14040
Ahg318207,AT3G14190
Ahg318218,AT3G14300
Ahg318283,AT3G15080
Ahg318288,AT3G15120
Ahg318289,AT3G15130
Ahg318329,AT3G15490
Ahg318360,AT3G15800
Ahg318392,AT3G16170
Ahg318393,AT3G16175
Ahg318409,AT3G16340
Ahg318430,AT3G16590
Ahg318431,AT3G16600
Ahg318432,AT3G16610
Ahg318437,AT3G16660
Ahg318446,AT3G16820
Ahg318448,AT3G16840
Ahg318449,AT3G16850
Ahg318453,AT3G16880
Ahg318457,AT3G16920
Ahg318458,AT3G16940
Ahg318460,AT3G16960
Ahg318461,AT3G16970
Ahg318462,AT3G16980
Ahg318465,AT3G17010
Ahg318477,AT3G17140
Ahg318480,AT3G17170
Ahg318486,AT3G17230
Ahg318490,AT3G17265
Ahg318499,AT3G21960
Ahg318525,AT3G17660
Ahg318548,AT3G17890
Ahg318569,AT3G18110
Ahg318572,AT3G27740
Ahg318576,AT5G45875
Ahg318595,AT4G09870
Ahg318596,AT3G44120
Ahg318610,AT3G18480
Ahg318635,AT3G18750
Ahg318646,AT3G18850
Ahg318651,AT3G18900
Ahg318665,AT3G19080
Ahg318670,AT3G19150
Ahg318671,AT3G19160
Ahg318673,AT3G19180
Ahg318682,AT3G19260
Ahg318692,AT3G19370
Ahg318695,AT3G19400
Ahg318699,AT3G19440
Ahg318714,AT3G19595
Ahg318716,AT3G19620
Ahg318717,AT3G19630
Ahg318738,AT3G19870
Ahg318745,AT3G19940
Ahg318756,AT3G20030
Ahg318761,AT3G20070
Ahg318821,AT3G20720
Ahg318827,AT3G20780
Ahg318835,AT3G20860
Ahg318837,AT3G20880
Ahg318838,AT3G20890
Ahg318845,AT3G21060
Ahg318850,AT1G51540
Ahg318885,AT3G21450
Ahg318888,AT3G21470
Ahg318898,AT3G21580
Ahg318899,AT3G21590
Ahg318900,AT3G21600
Ahg318914,AT3G21740
Ahg318925,AT3G21870
Ahg318927,AT3G21880
Ahg318931,AT3G21945
Ahg318935,AT3G21985
Ahg318936,AT3G22050
Ahg318939,AT3G22080
Ahg318974,AT3G22430
Ahg318977,AT3G22460
Ahg318984,AT3G22550
Ahg318995,AT3G22730
Ahg319015,AT3G54540
Ahg319024,AT3G23050
Ahg319027,AT3G23080
Ahg319034,AT3G23165
Ahg319035,AT2G14935
Ahg319038,AT3G23180
Ahg319045,AT3G23260
Ahg319046,AT3G23270
Ahg319056,AT3G23380
Ahg319057,AT3G23400
Ahg319073,AT3G22040
Ahg319082,AT3G23715
Ahg319110,AT3G24120
Ahg319113,AT3G55620
Ahg319144,AT3G24540
Ahg319165,AT3G24600
Ahg319167,AT3G24620
Ahg319176,AT3G62850
Ahg319178,AT5G58940
Ahg319179,AT3G24715
Ahg319184,AT3G24780
Ahg319187,AT3G24790
Ahg319189,AT3G24810
Ahg319208,AT3G25180
Ahg319209,AT3G25180
Ahg319217,AT3G25250
Ahg319227,AT1G14610
Ahg319239,AT2G04070
Ahg319240,AT5G25757
Ahg319243,AT3G18150
Ahg319258,AT2G04410
Ahg319261,AT2G04450
Ahg319272,AT2G04622
Ahg319280,AT2G04750
Ahg319286,AT2G04842
Ahg319309,AT2G05335
Ahg319311,AT2G05400
Ahg319341,AT2G06005
Ahg319343,AT2G06020
Ahg319345,AT2G06040
Ahg319356,AT1G22400
Ahg319360,AT5G35320
Ahg319369,AT2G07170
Ahg319376,ATMG00580
Ahg319379,ATMG00570
Ahg319380,ATMG00560
Ahg319381,AT2G07714
Ahg319387,AT2G07746
Ahg319392,ATMG00890
Ahg319407,AT2G12475
Ahg319434,AT2G13800
Ahg319438,AT2G14050
Ahg319455,AT2G14660
Ahg319456,AT5G06170
Ahg319461,AT2G14710
Ahg319463,AT2G14710
Ahg319530,AT2G15890
Ahg319534,AT2G15910
Ahg319536,AT2G20290
Ahg319541,AT2G20240
Ahg319544,AT2G20208
Ahg319546,AT2G20180
Ahg319549,AT2G20170
Ahg319554,AT2G20070
Ahg319567,AT2G19920
Ahg319569,AT2G19880
Ahg319606,AT2G19410
Ahg319609,AT2G19385
Ahg319616,AT2G19270
Ahg319618,AT2G16535
Ahg319654,AT1G40091
Ahg319672,AT2G17210
Ahg319692,AT2G17420
Ahg319696,AT2G17470
Ahg319704,AT1G35540
Ahg319740,AT2G17900
Ahg319751,AT5G63030
Ahg319762,AT2G18110
Ahg319763,AT2G18115
Ahg319764,AT2G18120
Ahg319769,AT2G18170
Ahg319771,AT2G18196
Ahg319792,AT2G18410
Ahg319804,AT2G18560
Ahg319808,AT2G18590
Ahg319811,AT2G18630
Ahg319814,AT2G18660
Ahg319832,AT2G16290
Ahg319835,AT2G16310
Ahg319845,AT2G16485
Ahg319846,AT2G16485
Ahg319858,AT2G19060
Ahg319861,AT2G19010
Ahg319874,AT2G18850
Ahg319882,AT2G20310
Ahg319889,AT2G20380
Ahg319913,AT2G20620
Ahg319921,AT2G20720
Ahg319935,AT2G20830
Ahg319991,AT2G21400
Ahg319997,AT2G21465
Ahg320007,AT2G21580
Ahg320010,AT2G21610
Ahg320017,AT4G39280
Ahg320022,AT2G21890
Ahg320032,AT2G21850
Ahg320036,AT2G21900
Ahg320039,AT2G21940
Ahg320052,AT2G22121
Ahg320057,AT2G22150
Ahg320059,AT2G22150
Ahg320067,AT2G22250
Ahg320077,AT2G22370
Ahg320078,AT2G22400
Ahg320079,AT2G22410
Ahg320100,AT2G22630
Ahg320107,AT2G22730
Ahg320116,AT2G22807
Ahg320149,AT2G23240
Ahg320171,AT2G23510
Ahg320173,AT2G23530
Ahg320178,AT2G23610
Ahg320180,AT2G23630
Ahg320206,AT2G23980
Ahg320208,AT2G24000
Ahg320214,AT2G24070
Ahg320235,AT2G24250
Ahg320242,AT2G24320
Ahg320269,AT2G24615
Ahg320270,AT3G44325
Ahg320274,AT2G24690
Ahg320279,AT2G24720
Ahg320281,AT2G24730
Ahg320288,AT2G24761
Ahg320306,AT2G25050
Ahg320322,AT2G25185
Ahg320330,AT2G25295
Ahg320337,AT2G25350
Ahg320374,AT2G25830
Ahg320377,AT2G25850
Ahg320379,AT2G25880
Ahg320410,AT4G29273
Ahg320417,AT2G26270
Ahg320424,AT2G26320
Ahg320426,AT2G26340
Ahg320428,AT2G26360
Ahg320430,AT2G26420
Ahg320434,AT2G26450
Ahg320449,AT2G26590
Ahg320472,AT2G26840
Ahg320480,AT2G26950
Ahg320487,AT1G36280
Ahg320488,AT1G13110
Ahg320504,AT2G27145
Ahg320520,AT2G27270
Ahg320535,AT2G27520
Ahg320539,AT2G27480
Ahg320542,AT3G18150
Ahg320561,AT2G28315
Ahg320567,AT2G28260
Ahg320571,AT2G28210
Ahg320572,AT2G07110
Ahg320599,AT2G27920
Ahg320603,AT2G27840
Ahg320627,AT2G27610
Ahg320642,AT2G28540
Ahg320646,AT2G28580
Ahg320665,AT2G28780
Ahg320670,AT2G28830
Ahg320698,AT2G29220
Ahg320706,AT2G29420
Ahg320708,AT2G29430
Ahg320712,AT4G12000
Ahg320713,AT2G29450
Ahg320719,AT2G29470
Ahg320730,AT2G29800
Ahg320744,AT2G29830
Ahg320761,AT2G30080
Ahg320775,AT2G30220
Ahg320780,AT2G30260
Ahg320784,AT2G30300
Ahg320800,AT2G30460
Ahg320802,AT2G30480
