gene,orthologs
Bra016014,AT1G73190
Bra021118,AT1G28030
Bra039505,AT5G44320
Bra004381,AT1G69450
Bra019772,AT1G12530
Bra008648,AT3G02540
Bra003145,AT3G53560
Bra037563,AT5G57030
Bra029612,AT3G06970
Bra016000,AT1G73270
Bra005322,AT1G31650
Bra013881,AT4G25260
Bra029250,AT5G62560
Bra014386,AT3G62880
Bra004791,AT2G43890
Bra003475,AT3G61810
Bra021279,AT5G37500
Bra032252,AT1G48330
Bra025683,AT1G18740
Bra008718,AT5G15140
Bra009540,AT5G03260
Bra000072,AT4G30760
Bra034403,AT1G31150
Bra001729,AT3G19000
Bra040374,AT3G07360
Bra012711,AT4G16515
Bra008509,AT5G61020
Bra034840,AT3G11460
Bra036296,AT4G02060
Bra035139,AT1G79720
Bra033731,AT5G44260
Bra036420,AT2G47220
Bra002726,AT5G57480
Bra014744,AT3G55440
Bra001398,AT3G11320
Bra016404,AT1G21830
Bra000487,AT2G28550
Bra011528,AT3G52380
Bra022904,AT2G32790
Bra040974,AT2G02070
Bra040954,AT4G15060
Bra008255,AT1G76360
Bra019121,AT4G26080
Bra011691,AT2G18328
Bra038013,AT1G55770
Bra000110,AT2G38995
Bra024512,AT2G17450
Bra025134,AT5G56930
Bra004648,AT2G41770
Bra002089,AT1G64870
Bra009163,AT5G06120
Bra025310,AT4G39240
Bra015795,AT1G76050
Bra022085,AT5G47590
Bra010628,AT4G38010
Bra030000,AT3G50280
Bra040069,AT4G32180
Bra028278,AT5G51820
Bra004949,AT2G45950
Bra001450,AT3G12390
Bra031096,AT4G29390
Bra040016,AT3G07570
Bra025649,AT5G39720
Bra018323,AT2G30280
Bra001551,AT3G14420
Bra009077,AT5G09876
Bra026954,AT1G12775
Bra011721,AT4G37170
Bra016770,AT1G12470
Bra016015,AT1G73165
Bra002782,AT1G63190
Bra019513,AT3G47760
Bra018335,AT2G30130
Bra024008,AT4G31440
Bra011067,AT4G28880
Bra028859,AT5G02890
Bra005812,AT5G04670
Bra015028,AT3G24300
Bra026033,AT1G16650
Bra000632,AT4G07390
Bra035087,AT1G79040
Bra018408,AT2G29130
Bra003599,AT1G79650
Bra023655,AT5G18020
Bra027060,AT3G17940
Bra019262,AT4G23870
Bra003758,AT1G75330
Bra038955,AT5G33370
Bra028338,AT3G23710
Bra014801,AT3G54660
Bra037881,AT4G08940
Bra029042,AT5G54150
Bra006718,AT5G59380
Bra006058,AT5G44050
Bra005972,AT5G08150
Bra020537,AT5G26594
Bra014069,AT1G47260
Bra038048,AT4G15990
Bra034975,AT3G43600
Bra005151,AT2G37900
Bra026433,AT2G16430
Bra035218,AT4G11490
Bra023068,AT2G36410
Bra037991,AT1G55310
Bra015601,AT1G47820
Bra035042,AT1G78510
Bra015395,AT1G05170
Bra004194,AT1G66880
Bra004973,AT2G40260
Bra037164,AT5G66570
Bra011040,AT4G28560
Bra036926,AT1G43620
Bra023780,AT3G22960
Bra035410,AT1G60010
Bra004158,AT1G66260
Bra005412,AT4G38940
Bra039214,AT2G23790
Bra020507,AT5G25560
Bra008053,AT1G72860
Bra030360,AT5G39050
Bra037699,AT2G43590
Bra024469,AT2G18400
Bra016923,AT3G27900
Bra013958,AT5G17690
Bra032636,AT1G01450
Bra018063,AT3G48410
Bra017877,AT4G39870
Bra012046,AT2G26710
Bra007022,AT3G53720
Bra027266,AT3G15260
Bra002866,AT5G55940
Bra038127,AT1G53500
Bra037488,AT5G48390
Bra039329,AT2G45570
Bra029890,AT3G11030
Bra004895,AT2G45270
Bra017485,AT5G47480
Bra012344,AT1G22800
Bra026697,AT1G16940
Bra009044,AT5G10280
Bra019737,AT1G12040
Bra002281,AT5G20200
Bra006731,AT5G59160
Bra029072,AT5G53390
Bra039898,AT2G30290
Bra013475,AT4G20820
Bra027588,AT5G45100
Bra040740,AT4G16550
Bra022957,AT2G33835
Bra003493,AT3G62240
Bra027146,AT1G80710
Bra005620,AT2G31960
Bra030932,AT5G18420
Bra030270,AT2G21940
Bra021364,AT3G03230
Bra004369,AT1G69280
Bra001845,AT3G21760
Bra010405,AT5G24530
Bra003040,AT5G53710
Bra008230,AT1G75940
Bra032830,AT1G27461
Bra016296,AT1G26920
Bra001600,AT3G15630
Bra034038,AT1G67000
Bra010858,AT1G28640
Bra037651,AT2G44450
Bra029557,AT4G05120
Bra019477,AT3G46090
Bra020792,AT3G05975
Bra002978,AT5G54570
Bra024622,AT3G13900
Bra024538,AT1G22800
Bra007894,AT1G10450
Bra025965,AT1G17540
Bra029589,AT3G06580
Bra036593,AT5G26751
Bra013947,AT4G26090
Bra029879,AT3G10920
Bra016614,AT1G17200
Bra012074,AT3G47840
Bra031077,AT1G19350
Bra001519,AT3G13672
Bra010537,AT4G29300
Bra020845,AT4G22517
Bra036590,AT2G32080
Bra028165,AT5G38210
Bra012374,AT1G23440
Bra004296,AT1G68310
Bra004547,AT2G46320
Bra038374,AT2G16030
Bra022696,AT4G27585
Bra014191,AT1G49475
Bra027080,AT1G61660
Bra024051,AT2G24050
Bra037341,AT4G00450
Bra017355,AT3G25600
Bra039312,AT2G45810
Bra022656,AT5G53470
Bra023752,AT3G23200
Bra008597,AT5G16760
Bra025737,AT1G19430
Bra019908,AT1G10660
Bra040240,AT3G05975
Bra036512,AT5G24430
Bra036601,AT5G04380
Bra011530,AT4G34412
Bra021844,AT2G33340
Bra005000,AT2G39940
Bra040998,AT4G23140
Bra038672,AT3G11680
Bra012464,AT1G26190
Bra023050,AT2G36120
Bra008382,AT1G78815
Bra037737,AT2G43070
Bra011021,AT1G26310
Bra002309,AT1G70860
Bra015816,AT1G75770
Bra007393,AT3G58450
Bra032490,AT3G62260
Bra037949,AT3G62120
Bra021423,AT3G02650
Bra028494,AT5G41350
Bra011859,AT4G39510
Bra033702,AT5G43870
Bra039826,AT2G14850
Bra031021,AT5G26830
Bra020822,AT4G23060
Bra017826,AT4G37470
Bra039773,AT4G06676
Bra030999,AT2G04050
Bra041028,AT1G50430
Bra029672,AT3G07730
Bra007984,AT1G71770
Bra009561,AT5G02850
Bra029389,AT5G23980
Bra027539,AT3G20155
Bra031525,AT5G16250
Bra015959,AT1G73840
Bra012530,AT4G19880
Bra039340,AT3G12730
Bra014355,AT1G55190
Bra021606,AT2G30100
Bra026846,AT1G14220
Bra018789,AT5G52050
Bra006832,AT1G32375
Bra014731,AT3G55620
Bra033229,AT1G01830
Bra015522,AT1G06720
Bra017855,AT4G37800
Bra013547,AT4G21680
Bra005493,AT2G33470
Bra014655,AT3G57010
Bra036020,AT5G44300
Bra037029,AT4G33030
Bra018448,AT1G53350
Bra030779,AT1G12280
Bra028358,AT3G24130
Bra030699,AT3G57310
Bra026747,AT1G15800
Bra024765,AT1G25275
Bra024214,AT4G28260
Bra012777,AT4G15610
Bra009770,AT5G24520
Bra004404,AT1G69640
Bra037244,AT2G17990
Bra002644,AT5G58500
Bra021953,AT5G45200
Bra009826,AT5G25220
Bra026106,AT1G15780
Bra034589,AT1G27320
Bra026082,AT1G16060
Bra015582,AT1G07480
Bra034566,AT4G33520
Bra039935,AT2G22795
Bra019378,AT4G22360
Bra025912,AT1G18370
Bra017183,AT2G37480
Bra028811,AT5G03900
Bra003224,AT3G55960
Bra038898,AT3G51440
Bra017277,AT2G35940
Bra018633,AT1G08340
Bra008771,AT5G14230
Bra004276,AT1G68030
Bra039339,AT3G12720
Bra020838,AT4G22670
Bra002579,AT3G46460
Bra010988,AT1G25300
Bra009805,AT5G24930
Bra034834,AT3G11500
Bra034110,AT3G10380
Bra034014,AT1G67210
Bra034134,AT5G19100
Bra012019,AT1G08340
Bra036806,AT3G50000
Bra029822,AT3G10200
Bra008736,AT5G14790
Bra022380,AT3G19030
Bra018651,AT1G08135
Bra028598,AT5G10150
Bra015654,AT1G77810
Bra013106,AT5G53840
Bra033043,AT3G28345
Bra008344,AT1G78090
Bra000062,AT2G38430
Bra034188,AT4G03130
Bra012933,AT5G61650
Bra028294,AT5G52160
Bra040228,AT3G06270
Bra001301,AT3G09670
Bra035706,AT2G28360
Bra035680,AT2G28670
Bra037684,AT2G43730
Bra025763,AT1G19740
Bra009966,AT5G27395
Bra027685,AT1G64190
Bra028000,AT1G33340
Bra035697,AT1G14800
Bra000310,AT2G43570
Bra014124,AT1G48260
Bra017009,AT2G40380
Bra033995,AT1G65030
Bra000668,AT4G38940
Bra030259,AT2G22170
Bra034313,AT2G26870
Bra033401,AT1G03470
Bra007187,AT3G55740
Bra023964,AT2G25290
Bra010319,AT2G25150
Bra028239,AT5G39380
Bra006585,AT5G20910
Bra034643,AT4G34670
Bra006961,AT2G36530
Bra023175,AT1G31310
Bra037303,AT2G16290
Bra032744,AT3G54010
Bra007779,AT2G25740
Bra033100,AT5G57350
Bra031638,AT1G08670
Bra010770,AT1G30450
Bra018697,AT1G47980
Bra019426,AT5G37010
Bra027158,AT1G60440
Bra018463,AT1G10070
Bra028476,AT4G02400
Bra008981,AT5G25400
Bra030249,AT2G22270
Bra001895,AT1G23280
Bra032443,AT1G06010
Bra040930,AT2G28940
Bra030057,AT1G27650
Bra039174,AT3G02410
Bra019410,AT5G11250
Bra040291,AT3G06780
Bra032971,AT1G80220
Bra039304,AT3G61410
Bra028883,AT5G02030
Bra008641,AT4G23160
Bra036846,AT3G50930
Bra030297,AT2G21470
Bra008734,AT5G14860
Bra008159,AT1G74640
Bra025256,AT3G27190
Bra026250,AT4G17420
Bra015284,AT1G04000
Bra022934,AT2G33310
Bra032960,AT3G26890
Bra006804,AT5G57785
Bra005648,AT2G31690
Bra014461,AT2G45570
Bra000113,AT2G39040
Bra026926,AT1G11330
Bra040794,AT1G47200
Bra014288,AT1G51510
Bra016855,AT2G42840
Bra030900,AT1G54150
Bra018798,AT1G49740
Bra025419,AT3G30580
Bra034648,AT4G34710
Bra024964,AT5G47110
Bra039704,AT4G14970
Bra022706,AT5G54320
Bra001445,AT3G12270
Bra001188,AT3G06260
Bra010382,AT4G28200
Bra014555,AT3G58730
Bra023834,AT5G42300
Bra033887,AT5G47820
Bra004595,AT2G40990
Bra017002,AT2G40450
Bra006679,AT5G60170
Bra038488,AT4G16570
Bra022314,AT2G05600
Bra007154,AT3G55360
Bra029158,AT5G51830
Bra006103,AT5G11520
Bra036234,AT4G02930
Bra011047,AT4G28660
Bra005855,AT5G05480
Bra019104,AT4G26450
Bra014605,AT3G57780
Bra013438,AT4G20000
Bra028711,AT5G07010
Bra028145,AT5G37720
Bra019507,AT3G47550
Bra022502,AT1G64980
Bra005212,AT2G37220
Bra022359,AT3G18810
Bra032733,AT4G13730
Bra033869,AT1G31880
Bra002946,AT5G54910
Bra028023,AT3G55450
Bra026485,AT5G23730
Bra024758,AT1G25370
Bra010552,AT4G36150
Bra012143,AT5G67210
Bra005561,AT5G28400
Bra032067,AT1G64840
Bra035912,AT1G23580
Bra040563,AT1G53830
Bra031986,AT3G03580
Bra016291,AT1G26830
Bra009295,AT3G12480
Bra039786,AT3G53400
Bra021343,AT2G20410
Bra003798,AT1G74490
Bra018468,AT1G09970
Bra000710,AT4G10380
Bra024354,AT5G65100
Bra020488,AT5G25120
Bra014607,AT3G57710
Bra006238,AT3G24580
Bra009341,AT5G08460
Bra000321,AT2G43710
Bra031139,AT2G20820
Bra013756,AT4G24040
Bra015756,AT1G76370
Bra024789,AT1G14170
Bra024738,AT1G25530
Bra000733,AT4G14180
Bra032642,AT1G01600
Bra012226,AT1G20340
Bra032666,AT1G02090
Bra031441,AT5G43420
Bra006840,AT5G57000
Bra011427,AT4G33210
Bra031000,AT1G45403
Bra002606,AT5G58950
Bra023090,AT2G36985
Bra022233,AT3G17690
Bra007738,AT3G63260
Bra035280,AT4G10760
Bra018046,AT3G48590
Bra039152,AT3G02100
Bra023310,AT5G11160
Bra022344,AT3G18680
Bra005593,AT2G32415
Bra039558,AT4G15248
Bra022377,AT3G19000
Bra005682,AT5G01520
Bra038777,AT4G21326
Bra024510,AT4G35510
Bra034064,AT3G09300
Bra000533,AT2G26810
Bra036127,AT5G28830
Bra036251,AT4G02640
Bra028897,AT5G01360
Bra024132,AT4G29750
Bra025509,AT5G41310
Bra019452,AT2G11000
Bra036303,AT4G01950
Bra034693,AT3G13300
Bra015592,AT1G07570
Bra014549,AT3G59020
Bra016395,AT1G19850
Bra033556,AT4G38220
Bra022622,AT5G53040
Bra014990,AT3G23870
Bra010715,AT4G34660
Bra028229,AT5G39240
Bra004781,AT2G43750
Bra030538,AT1G03610
Bra040968,AT4G11660
Bra015267,AT2G03780
Bra009319,AT5G08100
Bra005806,AT5G04430
Bra005202,AT2G37380
Bra004002,AT1G69310
Bra038743,AT3G12685
Bra028091,AT2G18660
Bra008538,AT2G38400
Bra021931,AT2G04800
Bra011154,AT4G29950
Bra007480,AT3G59830
Bra021539,AT3G14200
Bra037384,AT1G01440
Bra019205,AT4G24840
Bra029641,AT3G07350
Bra024618,AT1G23790
Bra039200,AT2G23440
Bra035503,AT1G32810
Bra032339,AT1G29850
Bra010757,AT4G14300
Bra010840,AT3G04080
Bra022755,AT5G50870
Bra014948,AT3G23430
Bra035112,AT1G79380
Bra003208,AT3G55110
Bra014019,AT1G44090
Bra037598,AT3G16830
Bra033756,AT5G44635
Bra011943,AT2G28490
Bra034767,AT3G12250
Bra038201,AT1G65930
Bra034237,AT3G26290
Bra016336,AT5G07460
Bra021303,AT1G62040
Bra037518,AT5G47940
Bra022610,AT5G52800
Bra007141,AT3G55110
Bra025873,AT1G21090
Bra025904,AT1G18470
Bra025501,AT5G41390
Bra038847,AT3G18720
Bra032007,AT3G03210
Bra009895,AT5G26280
Bra029102,AT5G52890
Bra018488,AT3G47570
Bra000411,AT2G46070
Bra038189,AT1G65890
Bra036645,AT1G79320
Bra014897,AT1G30960
Bra014779,AT3G55030
Bra017997,AT3G49260
Bra031058,AT1G18980
Bra036824,AT3G51260
Bra040594,AT3G02720
Bra004674,AT2G42200
Bra025678,AT1G18710
Bra025688,AT1G18835
Bra002137,AT5G18140
Bra003012,AT5G54140
Bra026615,AT2G02100
Bra026260,AT4G28380
Bra024381,AT5G65380
Bra010777,AT1G30320
Bra023954,AT4G32320
Bra003985,AT5G02960
Bra012868,AT3G51120
Bra002613,AT2G42480
Bra006451,AT5G18320
Bra032120,AT2G24120
Bra035564,AT5G55230
Bra027997,AT1G33360
Bra023485,AT5G14740
Bra003062,AT5G53370
Bra039498,AT5G22540
Bra022413,AT1G49760
Bra001163,AT3G05680
Bra018390,AT2G29410
Bra004903,AT2G45350
Bra029030,AT5G54310
Bra001193,AT3G06330
Bra000677,AT3G57710
Bra031372,AT1G22200
Bra025247,AT3G27030
Bra008468,AT1G80540
Bra031135,AT2G20635
Bra026328,AT4G27650
Bra003140,AT5G06160
Bra014151,AT1G67623
Bra032766,AT4G14160
Bra011100,AT4G29360
Bra029446,AT4G17050
Bra017453,AT1G79850
Bra018562,AT4G02250
Bra015509,AT1G06540
Bra010847,AT1G29170
Bra001337,AT3G08910
Bra028990,AT5G55110
Bra005767,AT5G03520
Bra013925,AT4G25835
Bra024389,AT5G65480
Bra010511,AT4G38940
Bra025233,AT3G26890
Bra020936,AT5G11250
Bra028134,AT5G37630
Bra023558,AT5G16270
Bra026512,AT3G25660
Bra021247,AT3G17430
Bra003719,AT1G76430
Bra031127,AT2G20560
Bra029875,AT3G10870
Bra029755,AT3G09260
Bra028124,AT5G37510
Bra015913,AT1G74410
Bra032150,AT3G20370
Bra020010,AT1G09580
Bra000452,AT2G47420
Bra008576,AT5G17160
Bra019052,AT4G27410
Bra001529,AT4G14723
Bra025834,AT1G76350
Bra015321,AT1G04500
Bra005226,AT2G36980
Bra027554,AT5G44390
Bra034415,AT1G66950
Bra025705,AT1G18990
Bra016134,AT1G71500
Bra004281,AT1G68100
Bra022660,AT5G53560
Bra031432,AT3G05858
Bra016948,AT2G41220
Bra035891,AT1G51240
Bra029670,AT3G07700
Bra011210,AT4G29760
Bra010940,AT1G27440
Bra026133,AT1G15410
Bra012900,AT3G50420
Bra008966,AT5G11390
Bra030640,AT1G06200
Bra028048,AT2G22795
Bra000171,AT2G40150
Bra032787,AT1G24610
Bra020797,AT5G26731
Bra018056,AT3G48460
Bra030604,AT1G05120
Bra001772,AT3G20020
Bra001766,AT3G19930
Bra013168,AT2G07560
Bra004063,AT1G67910
Bra025455,AT5G41940
Bra038508,AT2G22600
Bra028772,AT5G05060
Bra010599,AT4G37440
Bra032437,AT1G06090
Bra003654,AT1G22260
Bra027492,AT5G43360
Bra013657,AT4G23190
Bra010276,AT4G29760
Bra036705,AT2G19770
Bra013897,AT4G25515
Bra017364,AT2G03760
Bra007757,AT2G26350
Bra029889,AT3G11020
Bra028753,AT1G07780
Bra039863,AT1G30560
Bra004995,AT2G39990
Bra025590,AT4G29000
Bra002459,AT5G60680
Bra021492,AT3G13610
Bra027459,AT5G42820
Bra008184,AT1G75220
Bra007807,AT2G25270
Bra009634,AT5G01225
Bra010646,AT4G39920
Bra016748,AT1G12920
Bra015514,AT1G06640
Bra004615,AT2G41310
Bra039802,AT1G05080
Bra037215,AT2G14255
Bra011522,AT4G34350
Bra009212,AT5G05470
Bra020355,AT5G58760
Bra025280,AT4G27710
Bra037927,AT5G50335
Bra040089,AT4G38170
Bra019747,AT1G12200
Bra010008,AT5G28740
Bra030523,AT1G03170
Bra017942,AT1G21695
Bra013690,AT4G23430
Bra010056,AT1G61980
Bra006884,AT3G51940
Bra036560,AT5G26090
Bra024377,AT5G65310
Bra011410,AT4G33060
Bra001132,AT3G04950
Bra006816,AT5G57500
Bra003812,AT1G74220
Bra012110,AT5G66850
Bra014690,AT4G01400
Bra032527,AT1G04150
Bra020042,AT5G19500
Bra024850,AT2G01820
Bra021034,AT3G42060
Bra022090,AT5G47000
Bra034713,AT3G12977
Bra014725,AT3G55720
Bra026898,AT1G13580
Bra015692,AT1G77122
Bra003374,AT3G59390
Bra012548,AT4G19380
Bra011172,AT4G30190
Bra004951,AT2G45970
Bra026474,AT5G23950
Bra006235,AT5G14060
Bra032140,AT2G23800
Bra008470,AT1G80480
Bra013514,AT4G21215
Bra001991,AT2G16730
Bra010037,AT5G49400
Bra033098,AT3G29320
Bra026933,AT1G13100
Bra035160,AT1G80980
Bra016144,AT1G71360
Bra005045,AT2G39380
Bra028399,AT5G38100
Bra002419,AT5G22540
Bra012106,AT5G66810
Bra036791,AT3G51560
Bra015960,AT1G73830
Bra035976,AT5G43340
Bra006114,AT5G11730
Bra014477,AT3G60680
Bra006857,AT5G56760
Bra040665,AT1G61150
Bra029710,AT3G08680
Bra026315,AT4G27690
Bra000872,AT4G02590
Bra036922,AT4G15030
Bra029861,AT3G10700
Bra024362,AT5G65170
Bra015390,AT1G14400
Bra001919,AT3G23790
Bra000426,AT2G46490
Bra013214,AT2G04050
Bra004820,AT2G44250
Bra038556,AT2G18900
Bra015906,AT1G74500
Bra037823,AT5G65660
Bra036265,AT4G02480
Bra000794,AT4G04460
Bra021327,AT1G54780
Bra038359,AT1G68720
Bra033738,AT5G44350
Bra017103,AT2G38750
Bra024405,AT5G65660
Bra029832,AT3G10350
Bra006325,AT5G44210
Bra029346,AT5G60920
Bra019464,AT3G44540
Bra008274,AT1G76770
Bra015975,AT1G73680
Bra010330,AT4G29360
Bra034729,AT3G12780
Bra010868,AT5G54140
Bra009400,AT5G09760
Bra019084,AT4G26830
Bra032291,AT1G29150
Bra001345,AT3G08770
Bra034634,AT4G34510
Bra029195,AT5G20840
Bra018713,AT1G48200
Bra025107,AT5G44740
Bra024499,AT2G17660
Bra009116,AT5G05500
Bra040214,AT3G05530
Bra030808,AT1G54320
Bra018934,AT1G51870
Bra015610,AT1G47640
Bra014494,AT3G60360
Bra024992,AT5G46830
Bra038423,AT1G31430
Bra035818,AT3G20100
Bra009490,AT5G04050
Bra040039,AT3G07910
Bra028622,AT5G09680
Bra033015,AT1G43600
Bra038023,AT1G55870
Bra031538,AT1G06790
Bra025396,AT2G26020
Bra023910,AT4G34870
Bra006084,AT4G40030
Bra017147,AT1G02050
Bra036222,AT3G29060
Bra005709,AT5G02120
Bra007302,AT4G29910
Bra020388,AT5G58140
Bra031014,AT1G18080
Bra040003,AT1G33100
Bra001037,AT3G02230
Bra003283,AT3G57450
Bra040862,AT1G47270
Bra027322,AT3G14630
Bra007267,AT3G56740
Bra025568,AT5G40490
Bra012149,AT5G67300
Bra022886,AT2G32360
Bra040854,AT1G22530
Bra029538,AT4G31680
Bra015561,AT1G07200
Bra025346,AT3G28670
Bra001105,AT3G04460
Bra040259,AT1G45545
Bra019281,AT4G23650
Bra013525,AT4G21430
Bra035533,AT2G06520
Bra019231,AT4G24280
Bra010185,AT1G32780
Bra040433,AT3G63140
Bra029400,AT2G01660
Bra014669,AT3G62850
Bra029314,AT5G51860
Bra018202,AT3G46720
Bra032097,AT2G24400
Bra004497,AT2G46910
Bra001018,AT3G01160
Bra026172,AT1G14990
Bra040713,AT1G47250
Bra034821,AT3G11670
Bra033136,AT3G15740
Bra031972,AT3G03800
Bra028115,AT4G11000
Bra008038,AT1G72540
Bra011113,AT3G04900
Bra008113,AT1G73830
Bra000620,AT5G50340
Bra000091,AT2G38760
Bra025279,AT3G27470
Bra005759,AT5G02590
Bra021209,AT3G16870
Bra017232,AT2G36500
Bra006347,AT5G16280
Bra028770,AT5G05140
Bra003256,AT3G56940
Bra036501,AT2G20770
Bra034208,AT4G03430
Bra007075,AT3G54500
Bra019898,AT1G10840
Bra004085,AT1G67490
Bra037722,AT2G43290
Bra027043,AT1G62450
Bra032268,AT1G48850
Bra004639,AT2G41680
Bra031785,AT1G11860
Bra012810,AT3G52280
Bra027307,AT3G14840
Bra008807,AT5G13730
Bra010106,AT5G62630
Bra020415,AT5G57740
Bra021225,AT3G17130
Bra023279,AT5G52330
Bra009661,AT1G65342
Bra002329,AT5G20790
Bra035174,AT1G80520
Bra009795,AT5G24820
Bra018240,AT2G31470
Bra007962,AT1G71120
Bra024234,AT4G28025
Bra030923,AT1G53730
Bra009820,AT5G25120
Bra005504,AT2G33340
Bra031763,AT1G11310
Bra025287,AT3G27570
Bra031198,AT2G21540
